DSType;dataType;numPoints;numColors;gamma;alpha;s;k;rangeSpace;rangeBuildTime;rangeQueryTime;modeSpace;modeBuildTime;modeQueryTime;modeQueryTimeExcludingFirst
AAS2DModeGridDS;osm/bieleveld.points;59751;8;0;0;39;25000;35187456;80910400;61763;35246576;2032553900;34415;34104
AAS2DModeGridDS;osm/bieleveld.points;59751;8;0;0;39;50000;35187456;80910400;56457;35246576;2032553900;27726;27639
AAS2DModeReportDS;osm/bieleveld.points;68288;8;0;0;40;10;40602608;97324200;57055;39510000;92681100;3432;3302
AAS2DModeReportDS;osm/bieleveld.points;68288;8;0;0;40;100;40602608;97324200;56194;39510000;92681100;6090;5890
AAS2DModeReportDS;osm/bieleveld.points;68288;8;0;0;40;1000;40602608;97324200;60828;39510000;92681100;15664;15338
AAS2DModeReportDS;osm/bieleveld.points;68288;8;0;0;40;5000;40602608;97324200;64492;39510000;92681100;48120;47731
AAS2DModeReportDS;osm/bieleveld.points;68288;8;0;0;40;10000;40602608;97324200;67426;39510000;92681100;90567;89992
AAS2DModeReportDS;osm/bieleveld.points;68288;8;0;0;40;25000;40602608;97324200;67350;39510000;92681100;216890;216098
AAS2DModeReportDS;osm/bieleveld.points;68288;8;0;0;40;50000;40602608;97324200;61591;39510000;92681100;628963;629472
AAS2DModePerColorDS;osm/bieleveld.points;68288;8;0;0;40;10;40602608;95490400;59220;35258816;79964100;5361;5068
AAS2DModePerColorDS;osm/bieleveld.points;68288;8;0;0;40;100;40602608;95490400;56640;35258816;79964100;6121;5845
AAS2DModePerColorDS;osm/bieleveld.points;68288;8;0;0;40;1000;40602608;95490400;60830;35258816;79964100;6936;6646
AAS2DModePerColorDS;osm/bieleveld.points;68288;8;0;0;40;5000;40602608;95490400;63017;35258816;79964100;7198;6961
AAS2DModePerColorDS;osm/bieleveld.points;68288;8;0;0;40;10000;40602608;95490400;63849;35258816;79964100;7094;6868
AAS2DModePerColorDS;osm/bieleveld.points;68288;8;0;0;40;25000;40602608;95490400;63161;35258816;79964100;6535;6302
AAS2DModePerColorDS;osm/bieleveld.points;68288;8;0;0;40;50000;40602608;95490400;59962;35258816;79964100;3659;3523
AAS2DModeGridDS;osm/bieleveld.points;68288;8;0;0;40;10;40602608;93485800;58411;40594244;2451379400;23183;23059
AAS2DModeGridDS;osm/bieleveld.points;68288;8;0;0;40;100;40602608;93485800;56371;40594244;2451379400;26972;26827
AAS2DModeGridDS;osm/bieleveld.points;68288;8;0;0;40;1000;40602608;93485800;60926;40594244;2451379400;33647;33607
AAS2DModeGridDS;osm/bieleveld.points;68288;8;0;0;40;5000;40602608;93485800;68666;40594244;2451379400;38797;38486
AAS2DModeGridDS;osm/bieleveld.points;68288;8;0;0;40;10000;40602608;93485800;66297;40594244;2451379400;40139;39890
AAS2DModeGridDS;osm/bieleveld.points;68288;8;0;0;40;25000;40602608;93485800;66693;40594244;2451379400;38851;38626
AAS2DModeGridDS;osm/bieleveld.points;68288;8;0;0;40;50000;40602608;93485800;61112;40594244;2451379400;30648;30573
AAS2DModeReportDS;osm/bieleveld.points;76824;8;0;0;42;10;46202224;110553000;60812;44973040;106376100;3642;3456
AAS2DModeReportDS;osm/bieleveld.points;76824;8;0;0;42;100;46202224;110553000;60560;44973040;106376100;6225;6051
AAS2DModeReportDS;osm/bieleveld.points;76824;8;0;0;42;1000;46202224;110553000;63361;44973040;106376100;16619;16287
AAS2DModeReportDS;osm/bieleveld.points;76824;8;0;0;42;5000;46202224;110553000;68910;44973040;106376100;56664;56365
AAS2DModeReportDS;osm/bieleveld.points;76824;8;0;0;42;10000;46202224;110553000;77622;44973040;106376100;105816;105143
AAS2DModeReportDS;osm/bieleveld.points;76824;8;0;0;42;25000;46202224;110553000;78303;44973040;106376100;244498;244149
AAS2DModeReportDS;osm/bieleveld.points;76824;8;0;0;42;50000;46202224;110553000;66896;44973040;106376100;666130;664626
AAS2DModeReportDS;osm/bieleveld.points;76824;8;0;0;42;75000;46202224;110553000;65846;44973040;106376100;1057342;1057906
AAS2DModePerColorDS;osm/bieleveld.points;76824;8;0;0;42;10;46202224;106864300;61198;40030528;91820800;5617;5267
AAS2DModePerColorDS;osm/bieleveld.points;76824;8;0;0;42;100;46202224;106864300;58466;40030528;91820800;6103;5846
AAS2DModePerColorDS;osm/bieleveld.points;76824;8;0;0;42;1000;46202224;106864300;63034;40030528;91820800;7156;6871
AAS2DModePerColorDS;osm/bieleveld.points;76824;8;0;0;42;5000;46202224;106864300;66708;40030528;91820800;7699;7325
AAS2DModePerColorDS;osm/bieleveld.points;76824;8;0;0;42;10000;46202224;106864300;66945;40030528;91820800;7778;7424
AAS2DModePerColorDS;osm/bieleveld.points;76824;8;0;0;42;25000;46202224;106864300;66419;40030528;91820800;7210;7034
AAS2DModePerColorDS;osm/bieleveld.points;76824;8;0;0;42;50000;46202224;106864300;65558;40030528;91820800;4417;4253
AAS2DModePerColorDS;osm/bieleveld.points;76824;8;0;0;42;75000;46202224;106864300;59036;40030528;91820800;2264;2223
AAS2DModeGridDS;osm/bieleveld.points;76824;8;0;0;42;10;46202224;106210400;61622;46141984;3047756600;24413;24224
AAS2DModeGridDS;osm/bieleveld.points;76824;8;0;0;42;100;46202224;106210400;59801;46141984;3047756600;28486;28279
AAS2DModeGridDS;osm/bieleveld.points;76824;8;0;0;42;1000;46202224;106210400;64509;46141984;3047756600;34089;33811
AAS2DModeGridDS;osm/bieleveld.points;76824;8;0;0;42;5000;46202224;106210400;67996;46141984;3047756600;40053;39724
AAS2DModeGridDS;osm/bieleveld.points;76824;8;0;0;42;10000;46202224;106210400;70805;46141984;3047756600;41504;41109
AAS2DModeGridDS;osm/bieleveld.points;76824;8;0;0;42;25000;46202224;106210400;67771;46141984;3047756600;41936;41665
AAS2DModeGridDS;osm/bieleveld.points;76824;8;0;0;42;50000;46202224;106210400;65149;46141984;3047756600;33649;33360
AAS2DModeGridDS;osm/bieleveld.points;76824;8;0;0;42;75000;46202224;106210400;60991;46141984;3047756600;31482;31427
